stimuli;trialType;blockTrial;blockNum
NA;1;1;6
NA;1;2;6
NA;1;3;6
otherConcern2;4;4;6
otherConcern2;4;5;6
otherConcern2;4;6;6
NA;1;7;6
NA;1;8;6
NA;1;9;6
NA;1;10;6
NA;2;11;6
TP;5;12;6
NA;1;13;6
NA;1;14;6
NA;1;15;6
NA;1;16;6
NA;2;17;6
NA;1;18;6
NA;1;19;6
NA;1;20;6
NA;1;21;6
NA;1;22;6
NA;1;23;6
NA;1;24;6
NA;1;25;6
ownConcern2;3;26;6
ownConcern2;3;27;6
ownConcern2;3;28;6
NA;1;29;6
NA;1;30;6
NA;1;31;6
NA;1;32;6
NA;2;33;6
TP;5;34;6
NA;1;35;6
NA;1;36;6
NA;1;37;6
NA;1;38;6
NA;2;39;6
NA;1;40;6
NA;1;41;6
NA;1;42;6
NA;2;43;6
TP;5;44;6
NA;1;45;6
NA;1;46;6
NA;1;47;6
NA;1;48;6
NA;1;49;6
NA;1;50;6
NA;1;51;6
otherConcern2;4;52;6
otherConcern2;4;53;6
otherConcern2;4;54;6
NA;1;55;6
NA;1;56;6
NA;1;57;6
NA;1;58;6
NA;2;59;6
TP;5;60;6
NA;1;61;6
NA;1;62;6
NA;1;63;6
NA;1;64;6
NA;2;65;6
NA;1;66;6
NA;1;67;6
NA;1;68;6
NA;1;69;6
NA;1;70;6
NA;1;71;6
NA;1;72;6
NA;1;73;6
ownConcern2;3;74;6
ownConcern2;3;75;6
ownConcern2;3;76;6
NA;1;77;6
NA;1;78;6
NA;1;79;6
NA;1;80;6
NA;2;81;6
TP;5;82;6
NA;1;83;6
NA;1;84;6
NA;1;85;6
NA;1;86;6
NA;2;87;6
NA;1;88;6
NA;1;89;6
NA;1;90;6
NA;2;91;6
TP;5;92;6
NA;1;93;6
NA;1;94;6
NA;1;95;6
NA;1;96;6
