stimuli;trialType;blockTrial;blockNum
NA;1;1;8
NA;1;2;8
NA;1;3;8
NA;1;4;8
NA;1;5;8
NA;1;6;8
NA;1;7;8
NA;1;8;8
NA;1;9;8
NA;1;10;8
NA;1;11;8
ownConcern2;3;12;8
ownConcern2;3;13;8
ownConcern2;3;14;8
NA;1;15;8
NA;1;16;8
NA;1;17;8
NA;1;18;8
NA;2;19;8
TP;5;20;8
NA;1;21;8
NA;1;22;8
NA;1;23;8
NA;1;24;8
NA;1;25;8
NA;2;26;8
NA;1;27;8
NA;1;28;8
NA;1;29;8
NA;1;30;8
NA;2;31;8
TP;5;32;8
NA;1;33;8
NA;1;34;8
NA;1;35;8
NA;1;36;8
otherConcern2;4;37;8
otherConcern2;4;38;8
otherConcern2;4;39;8
NA;1;40;8
NA;1;41;8
NA;1;42;8
NA;1;43;8
NA;2;44;8
TP;5;45;8
NA;1;46;8
NA;2;47;8
NA;1;48;8
NA;1;49;8
NA;1;50;8
NA;1;51;8
NA;1;52;8
NA;1;53;8
NA;1;54;8
NA;1;55;8
NA;1;56;8
NA;1;57;8
NA;1;58;8
NA;1;59;8
ownConcern2;3;60;8
ownConcern2;3;61;8
ownConcern2;3;62;8
NA;1;63;8
NA;1;64;8
NA;1;65;8
NA;1;66;8
NA;2;67;8
TP;5;68;8
NA;1;69;8
NA;1;70;8
NA;1;71;8
NA;1;72;8
NA;1;73;8
NA;2;74;8
NA;1;75;8
NA;1;76;8
NA;1;77;8
NA;1;78;8
NA;2;79;8
TP;5;80;8
NA;1;81;8
NA;1;82;8
NA;1;83;8
NA;1;84;8
otherConcern2;4;85;8
otherConcern2;4;86;8
otherConcern2;4;87;8
NA;1;88;8
NA;1;89;8
NA;1;90;8
NA;1;91;8
NA;2;92;8
TP;5;93;8
NA;1;94;8
NA;2;95;8
NA;1;96;8
