stimuli;trialType;blockTrial;blockNum
NA;1;1;7
NA;1;2;7
NA;1;3;7
NA;1;4;7
NA;1;5;7
otherConcern1;4;6;7
otherConcern1;4;7;7
otherConcern1;4;8;7
NA;1;9;7
NA;1;10;7
NA;1;11;7
NA;1;12;7
NA;2;13;7
TP;5;14;7
NA;1;15;7
NA;1;16;7
NA;2;17;7
NA;1;18;7
NA;1;19;7
NA;2;20;7
NA;1;21;7
NA;1;22;7
NA;1;23;7
NA;1;24;7
NA;1;25;7
NA;1;26;7
NA;1;27;7
NA;1;28;7
NA;1;29;7
NA;1;30;7
ownConcern1;3;31;7
ownConcern1;3;32;7
ownConcern1;3;33;7
NA;1;34;7
NA;1;35;7
NA;1;36;7
NA;1;37;7
NA;2;38;7
TP;5;39;7
NA;1;40;7
NA;1;41;7
NA;1;42;7
NA;2;43;7
TP;5;44;7
NA;1;45;7
NA;1;46;7
NA;1;47;7
NA;1;48;7
NA;1;49;7
NA;1;50;7
NA;1;51;7
NA;1;52;7
NA;1;53;7
otherConcern1;4;54;7
otherConcern1;4;55;7
otherConcern1;4;56;7
NA;1;57;7
NA;1;58;7
NA;1;59;7
NA;1;60;7
NA;2;61;7
TP;5;62;7
NA;1;63;7
NA;1;64;7
NA;2;65;7
NA;1;66;7
NA;1;67;7
NA;2;68;7
NA;1;69;7
NA;1;70;7
NA;1;71;7
NA;1;72;7
NA;1;73;7
NA;1;74;7
NA;1;75;7
NA;1;76;7
NA;1;77;7
NA;1;78;7
ownConcern1;3;79;7
ownConcern1;3;80;7
ownConcern1;3;81;7
NA;1;82;7
NA;1;83;7
NA;1;84;7
NA;1;85;7
NA;2;86;7
TP;5;87;7
NA;1;88;7
NA;1;89;7
NA;1;90;7
NA;2;91;7
TP;5;92;7
NA;1;93;7
NA;1;94;7
NA;1;95;7
NA;1;96;7
