stimuli;trialType;blockTrial;blockNum
NA;1;1;1
NA;1;2;1
NA;1;3;1
NA;1;4;1
NA;1;5;1
NA;1;6;1
NA;1;7;1
NA;1;8;1
NA;1;9;1
NA;1;10;1
NA;1;11;1
ownConcern1;3;12;1
ownConcern1;3;13;1
ownConcern1;3;14;1
NA;1;15;1
NA;1;16;1
NA;1;17;1
NA;1;18;1
NA;2;19;1
TP;5;20;1
NA;1;21;1
NA;1;22;1
NA;1;23;1
NA;1;24;1
NA;1;25;1
NA;2;26;1
NA;1;27;1
NA;1;28;1
NA;1;29;1
NA;1;30;1
NA;2;31;1
TP;5;32;1
NA;1;33;1
NA;1;34;1
NA;1;35;1
NA;1;36;1
otherConcern1;4;37;1
otherConcern1;4;38;1
otherConcern1;4;39;1
NA;1;40;1
NA;1;41;1
NA;1;42;1
NA;1;43;1
NA;2;44;1
TP;5;45;1
NA;1;46;1
NA;2;47;1
NA;1;48;1
NA;1;49;1
NA;1;50;1
NA;1;51;1
NA;1;52;1
NA;1;53;1
NA;1;54;1
NA;1;55;1
NA;1;56;1
NA;1;57;1
NA;1;58;1
NA;1;59;1
ownConcern1;3;60;1
ownConcern1;3;61;1
ownConcern1;3;62;1
NA;1;63;1
NA;1;64;1
NA;1;65;1
NA;1;66;1
NA;2;67;1
TP;5;68;1
NA;1;69;1
NA;1;70;1
NA;1;71;1
NA;1;72;1
NA;1;73;1
NA;2;74;1
NA;1;75;1
NA;1;76;1
NA;1;77;1
NA;1;78;1
NA;2;79;1
TP;5;80;1
NA;1;81;1
NA;1;82;1
NA;1;83;1
NA;1;84;1
otherConcern1;4;85;1
otherConcern1;4;86;1
otherConcern1;4;87;1
NA;1;88;1
NA;1;89;1
NA;1;90;1
NA;1;91;1
NA;2;92;1
TP;5;93;1
NA;1;94;1
NA;2;95;1
NA;1;96;1
