stimuli;trialType;blockTrial;blockNum
NA;1;1;3
NA;1;2;3
NA;1;3;3
otherConcern1;4;4;3
otherConcern1;4;5;3
otherConcern1;4;6;3
NA;1;7;3
NA;1;8;3
NA;1;9;3
NA;1;10;3
NA;2;11;3
TP;5;12;3
NA;1;13;3
NA;1;14;3
NA;1;15;3
NA;1;16;3
NA;2;17;3
NA;1;18;3
NA;1;19;3
NA;1;20;3
NA;1;21;3
NA;1;22;3
NA;1;23;3
NA;1;24;3
NA;1;25;3
ownConcern1;3;26;3
ownConcern1;3;27;3
ownConcern1;3;28;3
NA;1;29;3
NA;1;30;3
NA;1;31;3
NA;1;32;3
NA;2;33;3
TP;5;34;3
NA;1;35;3
NA;1;36;3
NA;1;37;3
NA;1;38;3
NA;2;39;3
NA;1;40;3
NA;1;41;3
NA;1;42;3
NA;2;43;3
TP;5;44;3
NA;1;45;3
NA;1;46;3
NA;1;47;3
NA;1;48;3
NA;1;49;3
NA;1;50;3
NA;1;51;3
otherConcern1;4;52;3
otherConcern1;4;53;3
otherConcern1;4;54;3
NA;1;55;3
NA;1;56;3
NA;1;57;3
NA;1;58;3
NA;2;59;3
TP;5;60;3
NA;1;61;3
NA;1;62;3
NA;1;63;3
NA;1;64;3
NA;2;65;3
NA;1;66;3
NA;1;67;3
NA;1;68;3
NA;1;69;3
NA;1;70;3
NA;1;71;3
NA;1;72;3
NA;1;73;3
ownConcern1;3;74;3
ownConcern1;3;75;3
ownConcern1;3;76;3
NA;1;77;3
NA;1;78;3
NA;1;79;3
NA;1;80;3
NA;2;81;3
TP;5;82;3
NA;1;83;3
NA;1;84;3
NA;1;85;3
NA;1;86;3
NA;2;87;3
NA;1;88;3
NA;1;89;3
NA;1;90;3
NA;2;91;3
TP;5;92;3
NA;1;93;3
NA;1;94;3
NA;1;95;3
NA;1;96;3
