stimuli;trialType;blockTrial;blockNum
NA;1;1;4
NA;1;2;4
NA;1;3;4
NA;1;4;4
NA;1;5;4
NA;1;6;4
NA;2;7;4
TP;5;8;4
NA;1;9;4
NA;1;10;4
NA;1;11;4
NA;1;12;4
NA;1;13;4
NA;1;14;4
NA;1;15;4
NA;1;16;4
NA;1;17;4
NA;1;18;4
NA;1;19;4
NA;1;20;4
ownConcern2;3;21;4
ownConcern2;3;22;4
ownConcern2;3;23;4
NA;1;24;4
NA;1;25;4
NA;1;26;4
NA;1;27;4
NA;2;28;4
TP;5;29;4
NA;1;30;4
NA;1;31;4
otherConcern2;4;32;4
otherConcern2;4;33;4
otherConcern2;4;34;4
NA;1;35;4
NA;1;36;4
NA;1;37;4
NA;1;38;4
NA;2;39;4
TP;5;40;4
NA;1;41;4
NA;1;42;4
NA;2;43;4
NA;1;44;4
NA;2;45;4
NA;1;46;4
NA;1;47;4
NA;1;48;4
NA;1;49;4
NA;1;50;4
NA;1;51;4
NA;1;52;4
NA;1;53;4
NA;1;54;4
NA;2;55;4
TP;5;56;4
NA;1;57;4
NA;1;58;4
NA;1;59;4
NA;1;60;4
NA;1;61;4
NA;1;62;4
NA;1;63;4
NA;1;64;4
NA;1;65;4
NA;1;66;4
NA;1;67;4
NA;1;68;4
ownConcern2;3;69;4
ownConcern2;3;70;4
ownConcern2;3;71;4
NA;1;72;4
NA;1;73;4
NA;1;74;4
NA;1;75;4
NA;2;76;4
TP;5;77;4
NA;1;78;4
NA;1;79;4
otherConcern2;4;80;4
otherConcern2;4;81;4
otherConcern2;4;82;4
NA;1;83;4
NA;1;84;4
NA;1;85;4
NA;1;86;4
NA;2;87;4
TP;5;88;4
NA;1;89;4
NA;1;90;4
NA;2;91;4
NA;1;92;4
NA;2;93;4
NA;1;94;4
NA;1;95;4
NA;1;96;4
