x
1;admiral
2;advantage
3;adversity
4;afterlife
5;alcohol
6;algebra
7;amazement
8;amplifier
9;anger
10;answer
11;antitoxin
12;apple
13;arbiter
14;array
15;bar
16;barnacle
17;baron
18;bivouac
19;blessing
20;bloom
21;breeze
22;bronze
23;buffoon
24;building
25;camp
26;captive
27;casement
28;cerebrum
29;chance
30;chaos
31;christmas
32;church
33;cigar
34;circuit
35;costume
36;cotton
37;cowhide
38;creature
39;demon
40;determination
41;direction
42;discretion
43;distinction
44;doll
45;dust
46;encephalon
47;engagement
48;epistle
49;errand
50;essence
51;examination
52;exertion
53;expression
54;fisherman
55;flask
56;fur
57;furniture
58;gallery
59;gingham
60;glory
61;gold
62;golf
63;habitation
64;hardship
65;hillside
66;hindrance
67;honeycomb
68;horse
69;hospital
70;house
71;hurricane
72;icebox
73;idiom
74;impotency
75;incident
76;inclemency
77;inebriety
78;inn
79;intimate
80;islander
81;judge
82;kerchief
83;kerosene
84;kettle
85;kine
86;king
87;knowledge
88;lad
89;lecture
90;lecturer
91;letter
92;love
93;macaroni
94;machine
95;madness
96;magnitude
97;majority
98;malice
99;menace
100;mercy
101;method
102;misconception
103;misery
104;moisture
105;money
106;month
107;nail
108;nectar
109;nursery
110;orchestra
111;osculation
112;ownership
113;panorama
114;patent
115;pencil
116;perception
117;performer
118;perjury
119;permission
120;person
121;physician
122;plant
123;power
124;prairie
125;pressure
126;preview
127;pride
128;prisoner
129;profession
130;pudding
131;rendezvous
132;replacement
133;robbery
134;rubble
135;sauce
136;scarlet
137;scorpion
138;shock
139;simile
140;slave
141;spray
142;stain
143;steam
144;strawberry
145;substitute
146;suds
147;sugar
148;time
149;timepiece
150;tomb
151;trellis
152;trouble
153;utensil
154;violation
155;wine
156;woman
