stimuli;trialType;blockTrial;blockNum
NA;1;1;3
NA;1;2;3
NA;1;3;3
NA;1;4;3
NA;1;5;3
NA;1;6;3
NA;1;7;3
NA;2;8;3
TP;5;9;3
NA;1;10;3
NA;1;11;3
NA;1;12;3
NA;1;13;3
NA;2;14;3
NA;1;15;3
NA;1;16;3
NA;1;17;3
NA;1;18;3
NA;1;19;3
NA;1;20;3
NA;1;21;3
NA;1;22;3
NA;1;23;3
NA;1;24;3
NA;1;25;3
NA;1;26;3
NA;2;27;3
TP;5;28;3
NA;1;29;3
NA;1;30;3
NA;1;31;3
NA;1;32;3
NA;2;33;3
NA;1;34;3
NA;1;35;3
NA;1;36;3
NA;2;37;3
TP;5;38;3
NA;1;39;3
NA;1;40;3
NA;1;41;3
NA;1;42;3
NA;1;43;3
NA;1;44;3
NA;1;45;3
NA;1;46;3
NA;1;47;3
NA;1;48;3
NA;1;49;3
NA;2;50;3
TP;5;51;3
NA;1;52;3
NA;1;53;3
NA;1;54;3
NA;1;55;3
NA;2;56;3
NA;1;57;3
NA;1;58;3
NA;1;59;3
NA;1;60;3
NA;1;61;3
NA;1;62;3
NA;1;63;3
NA;1;64;3
NA;1;65;3
NA;1;66;3
NA;1;67;3
NA;1;68;3
NA;2;69;3
TP;5;70;3
NA;1;71;3
NA;1;72;3
NA;1;73;3
NA;1;74;3
NA;2;75;3
NA;1;76;3
NA;1;77;3
NA;1;78;3
NA;2;79;3
TP;5;80;3
NA;1;81;3
NA;1;82;3
NA;1;83;3
NA;1;84;3
