stimuli;trialType;blockTrial;blockNum
NA;1;1;1
NA;1;2;1
NA;1;3;1
NA;1;4;1
NA;1;5;1
NA;1;6;1
NA;1;7;1
NA;1;8;1
NA;1;9;1
NA;1;10;1
NA;1;11;1
NA;1;12;1
NA;1;13;1
NA;1;14;1
NA;1;15;1
NA;2;16;1
TP;5;17;1
NA;1;18;1
NA;1;19;1
NA;1;20;1
NA;1;21;1
NA;1;22;1
NA;2;23;1
NA;1;24;1
NA;1;25;1
NA;1;26;1
NA;1;27;1
NA;2;28;1
TP;5;29;1
NA;1;30;1
NA;1;31;1
NA;1;32;1
NA;1;33;1
NA;1;34;1
NA;1;35;1
NA;1;36;1
NA;1;37;1
NA;2;38;1
TP;5;39;1
NA;1;40;1
NA;2;41;1
NA;1;42;1
NA;1;43;1
NA;1;44;1
NA;1;45;1
NA;1;46;1
NA;1;47;1
NA;1;48;1
NA;1;49;1
NA;1;50;1
NA;1;51;1
NA;1;52;1
NA;1;53;1
NA;1;54;1
NA;1;55;1
NA;1;56;1
NA;1;57;1
NA;2;58;1
TP;5;59;1
NA;1;60;1
NA;1;61;1
NA;1;62;1
NA;1;63;1
NA;1;64;1
NA;2;65;1
NA;1;66;1
NA;1;67;1
NA;1;68;1
NA;1;69;1
NA;2;70;1
TP;5;71;1
NA;1;72;1
NA;1;73;1
NA;1;74;1
NA;1;75;1
NA;1;76;1
NA;1;77;1
NA;1;78;1
NA;1;79;1
NA;2;80;1
TP;5;81;1
NA;1;82;1
NA;2;83;1
NA;1;84;1
