stimuli;trialType;blockTrial;blockNum
NA;1;1;4
NA;1;2;4
NA;1;3;4
NA;1;4;4
NA;1;5;4
NA;1;6;4
NA;2;7;4
TP;5;8;4
NA;1;9;4
NA;1;10;4
NA;1;11;4
NA;1;12;4
NA;1;13;4
NA;1;14;4
NA;1;15;4
NA;1;16;4
NA;1;17;4
NA;1;18;4
NA;1;19;4
NA;1;20;4
NA;1;21;4
NA;1;22;4
NA;1;23;4
NA;1;24;4
NA;2;25;4
TP;5;26;4
NA;1;27;4
NA;1;28;4
NA;1;29;4
NA;1;30;4
NA;1;31;4
NA;1;32;4
NA;2;33;4
TP;5;34;4
NA;1;35;4
NA;1;36;4
NA;2;37;4
NA;1;38;4
NA;2;39;4
NA;1;40;4
NA;1;41;4
NA;1;42;4
NA;1;43;4
NA;1;44;4
NA;1;45;4
NA;1;46;4
NA;1;47;4
NA;1;48;4
NA;2;49;4
TP;5;50;4
NA;1;51;4
NA;1;52;4
NA;1;53;4
NA;1;54;4
NA;1;55;4
NA;1;56;4
NA;1;57;4
NA;1;58;4
NA;1;59;4
NA;1;60;4
NA;1;61;4
NA;1;62;4
NA;1;63;4
NA;1;64;4
NA;1;65;4
NA;1;66;4
NA;2;67;4
TP;5;68;4
NA;1;69;4
NA;1;70;4
NA;1;71;4
NA;1;72;4
NA;1;73;4
NA;1;74;4
NA;2;75;4
TP;5;76;4
NA;1;77;4
NA;1;78;4
NA;2;79;4
NA;1;80;4
NA;2;81;4
NA;1;82;4
NA;1;83;4
NA;1;84;4
