stimuli;trialType;blockTrial;blockNum
NA;1;1;8
NA;1;2;8
NA;1;3;8
NA;1;4;8
NA;1;5;8
NA;1;6;8
NA;1;7;8
NA;1;8;8
NA;1;9;8
NA;1;10;8
NA;1;11;8
NA;1;12;8
NA;1;13;8
NA;1;14;8
NA;1;15;8
NA;2;16;8
TP;5;17;8
NA;1;18;8
NA;1;19;8
NA;1;20;8
NA;1;21;8
NA;1;22;8
NA;2;23;8
NA;1;24;8
NA;1;25;8
NA;1;26;8
NA;1;27;8
NA;2;28;8
TP;5;29;8
NA;1;30;8
NA;1;31;8
NA;1;32;8
NA;1;33;8
NA;1;34;8
NA;1;35;8
NA;1;36;8
NA;1;37;8
NA;2;38;8
TP;5;39;8
NA;1;40;8
NA;2;41;8
NA;1;42;8
NA;1;43;8
NA;1;44;8
NA;1;45;8
NA;1;46;8
NA;1;47;8
NA;1;48;8
NA;1;49;8
NA;1;50;8
NA;1;51;8
NA;1;52;8
NA;1;53;8
NA;1;54;8
NA;1;55;8
NA;1;56;8
NA;1;57;8
NA;2;58;8
TP;5;59;8
NA;1;60;8
NA;1;61;8
NA;1;62;8
NA;1;63;8
NA;1;64;8
NA;2;65;8
NA;1;66;8
NA;1;67;8
NA;1;68;8
NA;1;69;8
NA;2;70;8
TP;5;71;8
NA;1;72;8
NA;1;73;8
NA;1;74;8
NA;1;75;8
NA;1;76;8
NA;1;77;8
NA;1;78;8
NA;1;79;8
NA;2;80;8
TP;5;81;8
NA;1;82;8
NA;2;83;8
NA;1;84;8
