stimuli;trialType;blockTrial;blockNum
NA;1;1;6
NA;1;2;6
NA;1;3;6
NA;1;4;6
NA;1;5;6
NA;1;6;6
NA;1;7;6
NA;2;8;6
TP;5;9;6
NA;1;10;6
NA;1;11;6
NA;1;12;6
NA;1;13;6
NA;2;14;6
NA;1;15;6
NA;1;16;6
NA;1;17;6
NA;1;18;6
NA;1;19;6
NA;1;20;6
NA;1;21;6
NA;1;22;6
NA;1;23;6
NA;1;24;6
NA;1;25;6
NA;1;26;6
NA;2;27;6
TP;5;28;6
NA;1;29;6
NA;1;30;6
NA;1;31;6
NA;1;32;6
NA;2;33;6
NA;1;34;6
NA;1;35;6
NA;1;36;6
NA;2;37;6
TP;5;38;6
NA;1;39;6
NA;1;40;6
NA;1;41;6
NA;1;42;6
NA;1;43;6
NA;1;44;6
NA;1;45;6
NA;1;46;6
NA;1;47;6
NA;1;48;6
NA;1;49;6
NA;2;50;6
TP;5;51;6
NA;1;52;6
NA;1;53;6
NA;1;54;6
NA;1;55;6
NA;2;56;6
NA;1;57;6
NA;1;58;6
NA;1;59;6
NA;1;60;6
NA;1;61;6
NA;1;62;6
NA;1;63;6
NA;1;64;6
NA;1;65;6
NA;1;66;6
NA;1;67;6
NA;1;68;6
NA;2;69;6
TP;5;70;6
NA;1;71;6
NA;1;72;6
NA;1;73;6
NA;1;74;6
NA;2;75;6
NA;1;76;6
NA;1;77;6
NA;1;78;6
NA;2;79;6
TP;5;80;6
NA;1;81;6
NA;1;82;6
NA;1;83;6
NA;1;84;6
