stimuli;trialType;blockTrial;blockNum
stopt;1;1;1
reken;1;2;1
dol;1;3;1
ontbijt;1;4;1
plaatsen;1;5;1
dak;1;6;1
honderd;1;7;1
breken;1;8;1
sloeg;1;9;1
held;1;10;1
waarover;1;11;1
hoek;1;12;1
wijn;1;13;1
brief;1;14;1
indruk;1;15;1
RENNEN;2;16;1
TP;5;17;1
geweten;1;18;1
slot;1;19;1
verschil;1;20;1
glas;1;21;1
bezorgd;1;22;1
DRAAIEN;2;23;1
armen;1;24;1
spul;1;25;1
onderzoeken;1;26;1
behoorlijk;1;27;1
VERLIES;2;28;1
TP;5;29;1
bewegen;1;30;1
roep;1;31;1
betere;1;32;1
bezit;1;33;1
opschieten;1;34;1
feestje;1;35;1
werkelijk;1;36;1
sommigen;1;37;1
MEEST;2;38;1
TP;5;39;1
verandert;1;40;1
BETEKENEN;2;41;1
waarin;1;42;1
stopt;1;43;1
reken;1;44;1
dol;1;45;1
ontbijt;1;46;1
plaatsen;1;47;1
dak;1;48;1
honderd;1;49;1
breken;1;50;1
sloeg;1;51;1
held;1;52;1
waarover;1;53;1
hoek;1;54;1
wijn;1;55;1
brief;1;56;1
indruk;1;57;1
RENNEN;2;58;1
TP;5;59;1
geweten;1;60;1
slot;1;61;1
verschil;1;62;1
glas;1;63;1
bezorgd;1;64;1
DRAAIEN;2;65;1
armen;1;66;1
spul;1;67;1
onderzoeken;1;68;1
behoorlijk;1;69;1
VERLIES;2;70;1
TP;5;71;1
bewegen;1;72;1
roep;1;73;1
betere;1;74;1
bezit;1;75;1
opschieten;1;76;1
feestje;1;77;1
werkelijk;1;78;1
sommigen;1;79;1
MEEST;2;80;1
TP;5;81;1
verandert;1;82;1
BETEKENEN;2;83;1
waarin;1;84;1
