stimuli;trialType;blockTrial;blockNum
binnenkort;1;1;3
kosten;1;2;3
gepraat;1;3;3
onmiddellijk;1;4;3
past;1;5;3
draag;1;6;3
rook;1;7;3
NEGEN;2;8;3
TP;5;9;3
belt;1;10;3
nagedacht;1;11;3
ontdekt;1;12;3
betreft;1;13;3
MEIDEN;2;14;3
enorm;1;15;3
duren;1;16;3
gevangen;1;17;3
opeens;1;18;3
leidt;1;19;3
toestemming;1;20;3
betaalt;1;21;3
genoegen;1;22;3
lol;1;23;3
bedoelde;1;24;3
geschreven;1;25;3
gedoe;1;26;3
WENS;2;27;3
TP;5;28;3
gasten;1;29;3
gepakt;1;30;3
beurt;1;31;3
nek;1;32;3
KEUKEN;2;33;3
schijnt;1;34;3
vieren;1;35;3
hoge;1;36;3
BEDANKEN;2;37;3
TP;5;38;3
been;1;39;3
maat;1;40;3
totaal;1;41;3
gestoord;1;42;3
binnenkort;1;43;3
kosten;1;44;3
gepraat;1;45;3
onmiddellijk;1;46;3
past;1;47;3
draag;1;48;3
rook;1;49;3
NEGEN;2;50;3
TP;5;51;3
belt;1;52;3
nagedacht;1;53;3
ontdekt;1;54;3
betreft;1;55;3
MEIDEN;2;56;3
enorm;1;57;3
duren;1;58;3
gevangen;1;59;3
opeens;1;60;3
leidt;1;61;3
toestemming;1;62;3
betaalt;1;63;3
genoegen;1;64;3
lol;1;65;3
bedoelde;1;66;3
geschreven;1;67;3
gedoe;1;68;3
WENS;2;69;3
TP;5;70;3
gasten;1;71;3
gepakt;1;72;3
beurt;1;73;3
nek;1;74;3
KEUKEN;2;75;3
schijnt;1;76;3
vieren;1;77;3
hoge;1;78;3
BEDANKEN;2;79;3
TP;5;80;3
been;1;81;3
maat;1;82;3
totaal;1;83;3
gestoord;1;84;3
