stimuli;trialType;blockTrial;blockNum
kennis;1;1;4
mooiste;1;2;4
schoenen;1;3;4
kort;1;4;4
bevalt;1;5;4
stelen;1;6;4
AANTAL;2;7;4
TP;5;8;4
zocht;1;9;4
leef;1;10;4
witte;1;11;4
vergeef;1;12;4
heus;1;13;4
verantwoordelijk;1;14;4
bedrijf;1;15;4
twaalf;1;16;4
gelogen;1;17;4
bevel;1;18;4
geslagen;1;19;4
midden;1;20;4
luistert;1;21;4
durf;1;22;4
hopen;1;23;4
groter;1;24;4
REKENING;2;25;4
TP;5;26;4
huilen;1;27;4
band;1;28;4
vanmorgen;1;29;4
gebied;1;30;4
overleven;1;31;4
boel;1;32;4
BOOT;2;33;4
TP;5;34;4
ineens;1;35;4
ongelooflijk;1;36;4
ZWART;2;37;4
kaart;1;38;4
SPECIAAL;2;39;4
ochtend;1;40;4
gesloten;1;41;4
bestaan;1;42;4
kennis;1;43;4
mooiste;1;44;4
schoenen;1;45;4
kort;1;46;4
bevalt;1;47;4
stelen;1;48;4
AANTAL;2;49;4
TP;5;50;4
zocht;1;51;4
leef;1;52;4
witte;1;53;4
vergeef;1;54;4
heus;1;55;4
verantwoordelijk;1;56;4
bedrijf;1;57;4
twaalf;1;58;4
gelogen;1;59;4
bevel;1;60;4
geslagen;1;61;4
midden;1;62;4
luistert;1;63;4
durf;1;64;4
hopen;1;65;4
groter;1;66;4
REKENING;2;67;4
TP;5;68;4
huilen;1;69;4
band;1;70;4
vanmorgen;1;71;4
gebied;1;72;4
overleven;1;73;4
boel;1;74;4
BOOT;2;75;4
TP;5;76;4
ineens;1;77;4
ongelooflijk;1;78;4
ZWART;2;79;4
kaart;1;80;4
SPECIAAL;2;81;4
ochtend;1;82;4
gesloten;1;83;4
bestaan;1;84;4
