stimuli;trialType;blockTrial;blockNum
eeuwig;1;1;5
dichtbij;1;2;5
vakantie;1;3;5
begraven;1;4;5
lijst;1;5;5
vele;1;6;5
GEBLEVEN;2;7;5
TP;5;8;5
zware;1;9;5
advocaat;1;10;5
tijden;1;11;5
gevoelens;1;12;5
geschiedenis;1;13;5
toevallig;1;14;5
vertrek;1;15;5
boeken;1;16;5
enorme;1;17;5
vlucht;1;18;5
last;1;19;5
rode;1;20;5
zagen;1;21;5
waarmee;1;22;5
veiligheid;1;23;5
risico;1;24;5
ANGST;2;25;5
TP;5;26;5
wisten;1;27;5
vertrokken;1;28;5
noemt;1;29;5
broek;1;30;5
adres;1;31;5
ophalen;1;32;5
MUUR;2;33;5
TP;5;34;5
stoel;1;35;5
gewone;1;36;5
BEDOELING;2;37;5
leeftijd;1;38;5
LIEGEN;2;39;5
links;1;40;5
sleutel;1;41;5
zon;1;42;5
eeuwig;1;43;5
dichtbij;1;44;5
vakantie;1;45;5
begraven;1;46;5
lijst;1;47;5
vele;1;48;5
GEBLEVEN;2;49;5
TP;5;50;5
zware;1;51;5
advocaat;1;52;5
tijden;1;53;5
gevoelens;1;54;5
geschiedenis;1;55;5
toevallig;1;56;5
vertrek;1;57;5
boeken;1;58;5
enorme;1;59;5
vlucht;1;60;5
last;1;61;5
rode;1;62;5
zagen;1;63;5
waarmee;1;64;5
veiligheid;1;65;5
risico;1;66;5
ANGST;2;67;5
TP;5;68;5
wisten;1;69;5
vertrokken;1;70;5
noemt;1;71;5
broek;1;72;5
adres;1;73;5
ophalen;1;74;5
MUUR;2;75;5
TP;5;76;5
stoel;1;77;5
gewone;1;78;5
BEDOELING;2;79;5
leeftijd;1;80;5
LIEGEN;2;81;5
links;1;82;5
sleutel;1;83;5
zon;1;84;5
