stimuli;trialType;blockTrial;blockNum
afterlife;1;1;7
vehicle;1;2;7
lump;1;3;7
disposition;1;4;7
bivouac;1;5;7
letter;1;6;7
gravity;1;7;7
inanity;1;8;7
bottle;1;9;7
CHURCH;2;10;7
TP;5;11;7
costume;1;12;7
lecturer;1;13;7
ISLANDER;2;14;7
physician;1;15;7
nymph;1;16;7
JEOPARDY;2;17;7
soul;1;18;7
avalanche;1;19;7
captive;1;20;7
substitute;1;21;7
session;1;22;7
hearing;1;23;7
comparison;1;24;7
pupil;1;25;7
rosin;1;26;7
kerchief;1;27;7
gold;1;28;7
mischief;1;29;7
woods;1;30;7
victory;1;31;7
CAMP;2;32;7
TP;5;33;7
trouble;1;34;7
lad;1;35;7
freedom;1;36;7
DIRECTION;2;37;7
TP;5;38;7
sobriety;1;39;7
copybook;1;40;7
guardhouse;1;41;7
building;1;42;7
afterlife;1;43;7
vehicle;1;44;7
lump;1;45;7
disposition;1;46;7
bivouac;1;47;7
letter;1;48;7
gravity;1;49;7
inanity;1;50;7
bottle;1;51;7
CHURCH;2;52;7
TP;5;53;7
costume;1;54;7
lecturer;1;55;7
ISLANDER;2;56;7
physician;1;57;7
nymph;1;58;7
JEOPARDY;2;59;7
soul;1;60;7
avalanche;1;61;7
captive;1;62;7
substitute;1;63;7
session;1;64;7
hearing;1;65;7
comparison;1;66;7
pupil;1;67;7
rosin;1;68;7
kerchief;1;69;7
gold;1;70;7
mischief;1;71;7
woods;1;72;7
victory;1;73;7
CAMP;2;74;7
TP;5;75;7
trouble;1;76;7
lad;1;77;7
freedom;1;78;7
DIRECTION;2;79;7
TP;5;80;7
sobriety;1;81;7
copybook;1;82;7
guardhouse;1;83;7
building;1;84;7
