stimuli;trialType;blockTrial;blockNum
cuisine;1;1;8
ankle;1;2;8
permission;1;3;8
time;1;4;8
aptitude;1;5;8
lice;1;6;8
blacksmith;1;7;8
suds;1;8;8
tidbit;1;9;8
infant;1;10;8
nursery;1;11;8
tribute;1;12;8
brassiere;1;13;8
pipe;1;14;8
oven;1;15;8
KING;2;16;8
TP;5;17;8
profession;1;18;8
steam;1;19;8
blood;1;20;8
month;1;21;8
prosperity;1;22;8
FOLLY;2;23;8
timepiece;1;24;8
storeroom;1;25;8
hurricane;1;26;8
advantage;1;27;8
ANIMOSITY;2;28;8
TP;5;29;8
harp;1;30;8
idiom;1;31;8
lemonade;1;32;8
majority;1;33;8
hide;1;34;8
nectar;1;35;8
graduation;1;36;8
inclemency;1;37;8
REPLACEMENT;2;38;8
TP;5;39;8
encephalon;1;40;8
EXERTION;2;41;8
christmas;1;42;8
cuisine;1;43;8
ankle;1;44;8
permission;1;45;8
time;1;46;8
aptitude;1;47;8
lice;1;48;8
blacksmith;1;49;8
suds;1;50;8
tidbit;1;51;8
infant;1;52;8
nursery;1;53;8
tribute;1;54;8
brassiere;1;55;8
pipe;1;56;8
oven;1;57;8
KING;2;58;8
TP;5;59;8
profession;1;60;8
steam;1;61;8
blood;1;62;8
month;1;63;8
prosperity;1;64;8
FOLLY;2;65;8
timepiece;1;66;8
storeroom;1;67;8
hurricane;1;68;8
advantage;1;69;8
ANIMOSITY;2;70;8
TP;5;71;8
harp;1;72;8
idiom;1;73;8
lemonade;1;74;8
majority;1;75;8
hide;1;76;8
nectar;1;77;8
graduation;1;78;8
inclemency;1;79;8
REPLACEMENT;2;80;8
TP;5;81;8
encephalon;1;82;8
EXERTION;2;83;8
christmas;1;84;8
