stimuli;trialType;blockTrial;blockNum
sultan;1;1;3
answer;1;2;3
kerosene;1;3;3
malice;1;4;3
shock;1;5;3
knowledge;1;6;3
arbiter;1;7;3
PRISONER;2;8;3
TP;5;9;3
temple;1;10;3
inebriety;1;11;3
tripod;1;12;3
habitation;1;13;3
SPEAKEASY;2;14;3
necessity;1;15;3
event;1;16;3
simile;1;17;3
cranium;1;18;3
osculation;1;19;3
beverage;1;20;3
plant;1;21;3
revolver;1;22;3
scarlet;1;23;3
skillet;1;24;3
cowhide;1;25;3
panorama;1;26;3
ADVERSITY;2;27;3
TP;5;28;3
outsider;1;29;3
galaxy;1;30;3
inn;1;31;3
hillside;1;32;3
SLAVE;2;33;3
rheumatism;1;34;3
moss;1;35;3
madness;1;36;3
UMBRELLA;2;37;3
TP;5;38;3
blessing;1;39;3
impact;1;40;3
amplifier;1;41;3
daylight;1;42;3
sultan;1;43;3
answer;1;44;3
kerosene;1;45;3
malice;1;46;3
shock;1;47;3
knowledge;1;48;3
arbiter;1;49;3
PRISONER;2;50;3
TP;5;51;3
temple;1;52;3
inebriety;1;53;3
tripod;1;54;3
habitation;1;55;3
SPEAKEASY;2;56;3
necessity;1;57;3
event;1;58;3
simile;1;59;3
cranium;1;60;3
osculation;1;61;3
beverage;1;62;3
plant;1;63;3
revolver;1;64;3
scarlet;1;65;3
skillet;1;66;3
cowhide;1;67;3
panorama;1;68;3
ADVERSITY;2;69;3
TP;5;70;3
outsider;1;71;3
galaxy;1;72;3
inn;1;73;3
hillside;1;74;3
SLAVE;2;75;3
rheumatism;1;76;3
moss;1;77;3
madness;1;78;3
UMBRELLA;2;79;3
TP;5;80;3
blessing;1;81;3
impact;1;82;3
amplifier;1;83;3
daylight;1;84;3
