stimuli;trialType;blockTrial;blockNum
abasement;1;1;5
cigar;1;2;5
pleasure;1;3;5
chloride;1;4;5
economy;1;5;5
mirage;1;6;5
CHANCE;2;7;5
TP;5;8;5
epistle;1;9;5
dell;1;10;5
bloom;1;11;5
traction;1;12;5
kine;1;13;5
contract;1;14;5
chin;1;15;5
glory;1;16;5
amazement;1;17;5
horse;1;18;5
quality;1;19;5
bronze;1;20;5
skull;1;21;5
barnacle;1;22;5
woman;1;23;5
sunburn;1;24;5
PERIODICAL;2;25;5
TP;5;26;5
duty;1;27;5
agony;1;28;5
garret;1;29;5
menace;1;30;5
irony;1;31;5
steamer;1;32;5
LEGISLATION;2;33;5
TP;5;34;5
piano;1;35;5
ownership;1;36;5
HARDSHIP;2;37;5
icebox;1;38;5
BARON;2;39;5
utensil;1;40;5
errand;1;41;5
fur;1;42;5
abasement;1;43;5
cigar;1;44;5
pleasure;1;45;5
chloride;1;46;5
economy;1;47;5
mirage;1;48;5
CHANCE;2;49;5
TP;5;50;5
epistle;1;51;5
dell;1;52;5
bloom;1;53;5
traction;1;54;5
kine;1;55;5
contract;1;56;5
chin;1;57;5
glory;1;58;5
amazement;1;59;5
horse;1;60;5
quality;1;61;5
bronze;1;62;5
skull;1;63;5
barnacle;1;64;5
woman;1;65;5
sunburn;1;66;5
PERIODICAL;2;67;5
TP;5;68;5
duty;1;69;5
agony;1;70;5
garret;1;71;5
menace;1;72;5
irony;1;73;5
steamer;1;74;5
LEGISLATION;2;75;5
TP;5;76;5
piano;1;77;5
ownership;1;78;5
HARDSHIP;2;79;5
icebox;1;80;5
BARON;2;81;5
utensil;1;82;5
errand;1;83;5
fur;1;84;5
