stimuli;trialType;blockTrial;blockNum
discretion;1;1;2
law;1;2;2
hospital;1;3;2
prosecutor;1;4;2
house;1;5;2
honeycomb;1;6;2
person;1;7;2
money;1;8;2
prairie;1;9;2
ARRAY;2;10;2
TP;5;11;2
alcohol;1;12;2
mantle;1;13;2
BLASPHEMY;2;14;2
salary;1;15;2
moisture;1;16;2
PATENT;2;17;2
engagement;1;18;2
doll;1;19;2
gallery;1;20;2
macaroni;1;21;2
misery;1;22;2
ghost;1;23;2
kettle;1;24;2
wheat;1;25;2
sugar;1;26;2
strawberry;1;27;2
wholesaler;1;28;2
cotton;1;29;2
bosom;1;30;2
pacifism;1;31;2
CREATURE;2;32;2
TP;5;33;2
clothing;1;34;2
cash;1;35;2
banality;1;36;2
BRUTALITY;2;37;2
TP;5;38;2
circuit;1;39;2
judge;1;40;2
mind;1;41;2
dust;1;42;2
discretion;1;43;2
law;1;44;2
hospital;1;45;2
prosecutor;1;46;2
house;1;47;2
honeycomb;1;48;2
person;1;49;2
money;1;50;2
prairie;1;51;2
ARRAY;2;52;2
TP;5;53;2
alcohol;1;54;2
mantle;1;55;2
BLASPHEMY;2;56;2
salary;1;57;2
moisture;1;58;2
PATENT;2;59;2
engagement;1;60;2
doll;1;61;2
gallery;1;62;2
macaroni;1;63;2
misery;1;64;2
ghost;1;65;2
kettle;1;66;2
wheat;1;67;2
sugar;1;68;2
strawberry;1;69;2
wholesaler;1;70;2
cotton;1;71;2
bosom;1;72;2
pacifism;1;73;2
CREATURE;2;74;2
TP;5;75;2
clothing;1;76;2
cash;1;77;2
banality;1;78;2
BRUTALITY;2;79;2
TP;5;80;2
circuit;1;81;2
judge;1;82;2
mind;1;83;2
dust;1;84;2
