stimuli;trialType;blockTrial;blockNum
determination;1;1;4
goddess;1;2;4
nail;1;3;4
expression;1;4;4
square;1;5;4
orchestra;1;6;4
PHOTOGRAPH;2;7;4
TP;5;8;4
ingratitude;1;9;4
foible;1;10;4
essence;1;11;4
spray;1;12;4
committee;1;13;4
apple;1;14;4
flower;1;15;4
table;1;16;4
casement;1;17;4
trellis;1;18;4
hindrance;1;19;4
temerity;1;20;4
increment;1;21;4
golf;1;22;4
lobster;1;23;4
anger;1;24;4
INCIDENT;2;25;4
TP;5;26;4
world;1;27;4
edition;1;28;4
slush;1;29;4
thief;1;30;4
blandness;1;31;4
moral;1;32;4
CHAOS;2;33;4
TP;5;34;4
intimate;1;35;4
college;1;36;4
LECTURE;2;37;4
workhouse;1;38;4
RENDEZVOUS;2;39;4
phantom;1;40;4
bar;1;41;4
season;1;42;4
determination;1;43;4
goddess;1;44;4
nail;1;45;4
expression;1;46;4
square;1;47;4
orchestra;1;48;4
PHOTOGRAPH;2;49;4
TP;5;50;4
ingratitude;1;51;4
foible;1;52;4
essence;1;53;4
spray;1;54;4
committee;1;55;4
apple;1;56;4
flower;1;57;4
table;1;58;4
casement;1;59;4
trellis;1;60;4
hindrance;1;61;4
temerity;1;62;4
increment;1;63;4
golf;1;64;4
lobster;1;65;4
anger;1;66;4
INCIDENT;2;67;4
TP;5;68;4
world;1;69;4
edition;1;70;4
slush;1;71;4
thief;1;72;4
blandness;1;73;4
moral;1;74;4
CHAOS;2;75;4
TP;5;76;4
intimate;1;77;4
college;1;78;4
LECTURE;2;79;4
workhouse;1;80;4
RENDEZVOUS;2;81;4
phantom;1;82;4
bar;1;83;4
season;1;84;4
