stimuli;trialType;blockTrial;blockNum
perception;1;1;6
buffoon;1;2;6
machine;1;3;6
present;1;4;6
fisherman;1;5;6
item;1;6;6
opium;1;7;6
FURNITURE;2;8;6
TP;5;9;6
mastery;1;10;6
opportunity;1;11;6
algebra;1;12;6
door;1;13;6
LORD;2;14;6
magnitude;1;15;6
tomb;1;16;6
violation;1;17;6
performer;1;18;6
circle;1;19;6
wine;1;20;6
history;1;21;6
affection;1;22;6
coffee;1;23;6
power;1;24;6
hall;1;25;6
method;1;26;6
PRIDE;2;27;6
TP;5;28;6
cerebrum;1;29;6
breeze;1;30;6
falconer;1;31;6
misconception;1;32;6
IMPOTENCY;2;33;6
volume;1;34;6
robber;1;35;6
poetry;1;36;6
FLASK;2;37;6
TP;5;38;6
robbery;1;39;6
market;1;40;6
arrow;1;41;6
mood;1;42;6
perception;1;43;6
buffoon;1;44;6
machine;1;45;6
present;1;46;6
fisherman;1;47;6
item;1;48;6
opium;1;49;6
FURNITURE;2;50;6
TP;5;51;6
mastery;1;52;6
opportunity;1;53;6
algebra;1;54;6
door;1;55;6
LORD;2;56;6
magnitude;1;57;6
tomb;1;58;6
violation;1;59;6
performer;1;60;6
circle;1;61;6
wine;1;62;6
history;1;63;6
affection;1;64;6
coffee;1;65;6
power;1;66;6
hall;1;67;6
method;1;68;6
PRIDE;2;69;6
TP;5;70;6
cerebrum;1;71;6
breeze;1;72;6
falconer;1;73;6
misconception;1;74;6
IMPOTENCY;2;75;6
volume;1;76;6
robber;1;77;6
poetry;1;78;6
FLASK;2;79;6
TP;5;80;6
robbery;1;81;6
market;1;82;6
arrow;1;83;6
mood;1;84;6
